,@mattertype,@welcome
6834,Sealing,Eviction sealing
6836,Sealing,sealing motion
6837,Sealing,Seal eviction 
6840,Sealing,Sealing eviction
6846,Sealing,Sealing eviction 
6847,Sealing,How to register for eveiction sealing
6864,Sealing,Looking motion to seal evictions 
6867,Sealing,seal eviction
6932,Sealing,seal eviction
6936,Sealing,seal eviction
6943,Sealing,seal eviction
6945,Sealing,seal eviction
6947,Sealing,sealing
6951,Sealing,Sealing eviction record
6988,Sealing,seal eviction
6993,Sealing,sealing
6999,Sealing,Sealing eviction 
7002,Sealing,seal eviction
7003,Sealing,sealing eviction
7010,Sealing,sealing
7011,Sealing,sealing
7012,Sealing,sealing eviction 
7013,Sealing,eviction sealing
7014,Sealing,eviction sealing
7019,Sealing,Eviction sealing
7021,Sealing,sealing
7037,Sealing,Erase eviction record
7046,Sealing,im need help sealing an eviction
7057,Sealing,Sealing eviction 
7058,Sealing,Sealing eviction 
7061,Sealing,Sealing eviction
7063,Sealing,Eviction sealing
7064,Sealing,How to seal eviction 
7070,Sealing,Sealing an eviction 
7072,Sealing,Eviction sealing 
7084,Sealing,Sealing eviction 
7101,Sealing,sealing
7102,Sealing,sealing
7103,Sealing,sealing
7109,Sealing,sealing
7145,Sealing,sealing eviction
7225,Sealing,Sealing a eviction 
7228,Sealing,Seal eviction
7229,Sealing,Seal eviction 
7241,Sealing,Ethien Rivera 
7254,Sealing,sealing
7260,Sealing,sealing
7314,Sealing,Sealing an old eviction 
7372,Sealing,I have a client who needs assistance getting an eviction seal.  How does someone qualify for this?
7379,Sealing,sealing record
7380,Sealing,sealing 
7381,Sealing,how can i sign up for sealing eviction training
7398,Sealing,Seal eviction file
7415,Sealing,sealing
7419,Sealing,sealing
7426,Sealing,sealing 10year eviction
7436,Sealing,erasing eviction
7437,Sealing,Eviction 
7444,Sealing,Eviction sealing
7446,Sealing,Sealing eviction
7461,Sealing,seal eviction
7474,Sealing,can is seal an eviction from 20 years ago
7480,Sealing,seal eviction case
7563,Sealing,Eviction sealing 
7566,Sealing,eviction sealing
7577,Sealing,sealing
7580,Sealing,sealing eviction
7581,Sealing,sealing eviction
7590,Sealing,Eviction sealing
7598,Sealing,seal eviction
7599,Sealing,seal eviction
7600,Sealing,seal eviction
7691,Sealing,motion to seal old eviction
7766,Sealing,sealing eviction
7769,Sealing,sealing an eviction
7770,Sealing,motion to seal
7771,Sealing,sealing a case
